Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
Ultimate Investment Banking Course,,All Levels,,https://www.udemy.com/ultimate-investment-banking-course/,,Business Finance
Complete GST Course & Certification - Grow Your CA Practice,,All Levels,,https://www.udemy.com/goods-and-services-tax/,,Business Finance
Financial Modeling for Business Analysts and Consultants,,Intermediate Level,,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,,Business Finance
Beginner to Pro - Financial Analysis in Excel 2017,,All Levels,,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,,Business Finance
How To Maximize Your Profits Trading Options,,Intermediate Level,,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,,Business Finance
Trading Penny Stocks: A Guide for All Levels In 2017,,All Levels,,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,,Business Finance
Investing And Trading For Beginners: Mastering Price Charts,,Beginner Level,,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,,Business Finance
"Trading Stock Chart Patterns For Immediate, Explosive Gains",,All Levels,,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,,Business Finance
Options Trading 3 : Advanced Stock Profit and Success Method,,Expert Level,,https://www.udemy.com/day-trading-stock-options-3/,,Business Finance
The Only Investment Strategy You Need For Your Retirement,,All Levels,,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,,Business Finance
Forex Trading Secrets of the Pros With Amazon's AWS,,All Levels,,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,,Business Finance
Trading Options With Money Flow,,All Levels,,https://www.udemy.com/trading-options-using-money-flow/,,Business Finance
Financial Management Risk and Return For Securities,,All Levels,,https://www.udemy.com/risk-and-return-finance/,,Business Finance
Forex Trading Course: Work Smarter Not Harder Proven Results,,All Levels,,https://www.udemy.com/the-complete-trading-course/,,Business Finance
Python Algo Trading: Sentiment Trading with News,,All Levels,,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,,Business Finance
Short Selling: Learn To Sell Stocks Before The Fall,,Intermediate Level,,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,,Business Finance
Basic Technical Analysis: Learn the structure of the market,,Beginner Level,,https://www.udemy.com/learn-basic-technical-analysis/,,Business Finance
The Complete Chart Pattern Trading Course: A Proven Approach,,All Levels,,https://www.udemy.com/make-money-trading-stocks-from-home/,,Business Finance
7 Deadly Mistakes of Investing that Will Slash Your Profits!,,All Levels,,https://www.udemy.com/7-deadly-mistakes-of-investing/,,Business Finance
Financial Statements Made Easy,,Beginner Level,,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,,Business Finance
Winning Forex Trading with Live Forex Trading Examples,,All Levels,,https://www.udemy.com/forexmacross/,,Business Finance
Forex Traders - Create Your First Trading Robot. No Coding!,,All Levels,,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,,Business Finance
Create A Business From Home Trading Stocks Today In 2017,,All Levels,,https://www.udemy.com/work-from-home-buying-penny-stocks/,,Business Finance
Introduction to Accounting : Mastering Financial Statements,,Beginner Level,,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,,Business Finance
The Complete Ethereum Course: Get .01 Ether In Your Wallet,,All Levels,,https://www.udemy.com/ethereum/,,Business Finance
Beginner to Pro in PowerPoint: Complete PowerPoint Training,,All Levels,,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,,Business Finance
Investing 101: The Complete Online Investing Course,,All Levels,,https://www.udemy.com/online-investing-guide/,,Business Finance
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,,Intermediate Level,,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,,Business Finance
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),,All Levels,,https://www.udemy.com/learn-mql5/,,Business Finance
Forex Trading: Your Complete Guide to Get Started Like a Pro,,Beginner Level,,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,,Business Finance
Python Algo Stock Trading: Automate Your Trading!,,Beginner Level,,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,,Business Finance
THE Forex Robot: Incredible ROI (Robot Included),,All Levels,,https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,,Business Finance
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,,All Levels,,https://www.udemy.com/bitcoin-for-beginners/,,Business Finance
Mastering High Probability Iron Condor Options Trading,,All Levels,,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,,Business Finance
The Complete Short Course on Ethereum,,All Levels,,https://www.udemy.com/ethereum1/,,Business Finance
Options Trading Stocks: Proven Toolbox For Financial Success,,Intermediate Level,,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,,Business Finance
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,,Beginner Level,,https://www.udemy.com/forex-trading/,,Business Finance
"Introduction to Finance, Accounting, Modeling and Valuation",,All Levels,,https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,,Business Finance
Beginner to Pro in Excel: Financial Modeling and Valuation,,All Levels,,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,,Business Finance
The Complete Investment Banking Course 2017,,All Levels,,https://www.udemy.com/the-complete-investment-banking-course-2016/,,Business Finance
The Complete Financial Analyst Course 2017,,All Levels,,https://www.udemy.com/the-complete-financial-analyst-course/,,Business Finance
Python for Finance: Investment Fundamentals & Data Analytics,,All Levels,,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,,Business Finance
Financial Modeling for Startups & Small Businesses,,Beginner Level,,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,,Business Finance
Options Trading - How to Win with Weekly Options,,Intermediate Level,,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,,Business Finance
Black Algo Trading: Build Your Trading Robot,,All Levels,,https://www.udemy.com/build-your-trading-robot/,,Business Finance
Accounting & Financial Statement Analysis: Complete Training,,All Levels,,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,,Business Finance
